Days to Maturity,Close_Index,IV_Call,IV_Put,Log Forward Moneyness,IV
0,497.71,,,-1.1040721041872337,
1,497.71,,,-1.1040721041872337,
4,497.71,,,-1.1040721041872337,
5,497.71,,,-1.1040721041872337,
6,497.71,,,-1.1040721041872337,
7,497.71,,,-1.1040721041872337,
8,497.71,,,-1.1040721041872337,
12,497.71,,,-1.1040721041872337,
13,497.71,,,-1.1040721041872337,
14,497.71,,,-1.1040721041872337,
15,497.71,,,-1.1040721041872337,
21,497.71,,,-1.1040721041872337,
22,497.71,,,-1.1040721041872337,
29,497.71,,,-1.1040721041872337,
36,497.71,,,-1.1040721041872337,
43,497.71,,,-1.1040721041872337,
49,497.71,,,-1.1040721041872337,
71,497.71,,,-1.1040721041872337,
82,497.71,,,-1.1040721041872337,
99,497.71,,,-1.1040721041872337,
113,497.71,,,-1.1040721041872337,
134,497.71,,,-1.1040721041872337,
141,497.71,,,-1.1040721041872337,
162,497.71,,,-1.1040721041872337,
174,497.71,,,-1.1040721041872337,
190,497.71,,,-1.1040721041872337,
225,497.71,0.544,0.544,-1.1040721041872337,0.544
235,497.71,,,-1.1040721041872337,
316,497.71,,,-1.1040721041872337,
327,497.71,,,-1.1040721041872337,
344,497.71,,,-1.1040721041872337,
407,497.71,,,-1.1040721041872337,
498,497.71,0.4393,0.4393,-1.1040721041872337,0.4393
680,497.71,0.4038,0.4038,-1.1040721041872337,0.4038
708,497.71,,,-1.1040721041872337,
1044,497.71,,,-1.1040721041872337,
