Days to Maturity,Close_Index,IV_Call,IV_Call,IV_Put,IV_Put,Log Forward Moneyness,IV
0,497.71,0.6089,,0.6089,,-0.04250108719947287,0.6089
1,497.71,0.2924,,0.2924,,-0.04250108719947287,0.2924
4,497.71,0.1676,,0.1676,,-0.04250108719947287,0.1676
5,497.71,0.1677,,0.1677,,-0.04250108719947287,0.1677
6,497.71,0.1612,,0.1612,,-0.04250108719947287,0.1612
7,497.71,0.1615,,0.1615,,-0.04250108719947287,0.1615
8,497.71,0.158,,0.158,,-0.04250108719947287,0.158
12,497.71,,,,,-0.04250108719947287,
13,497.71,,,,,-0.04250108719947287,
14,497.71,,,,,-0.04250108719947287,
15,497.71,0.1412,0.1403,0.1412,0.1403,-0.04250108719947287,0.14075
21,497.71,0.1387,,0.1387,,-0.04250108719947287,0.1387
22,497.71,0.1396,0.1386,0.1396,0.1386,-0.04250108719947287,0.1391
29,497.71,0.1398,0.1386,0.1398,0.1386,-0.04250108719947287,0.1392
36,497.71,0.1386,,0.1386,,-0.04250108719947287,0.1386
43,497.71,0.1404,0.1394,0.1404,0.1394,-0.04250108719947287,0.1399
49,497.71,0.1406,,0.1406,,-0.04250108719947287,0.1406
71,497.71,0.1402,,0.1402,,-0.04250108719947287,0.1402
82,497.71,0.14,,0.14,,-0.04250108719947287,0.14
99,497.71,0.1438,,0.1438,,-0.04250108719947287,0.1438
113,497.71,0.1444,,0.1444,,-0.04250108719947287,0.1444
134,497.71,0.1458,,0.1458,,-0.04250108719947287,0.1458
141,497.71,0.1465,,0.1465,,-0.04250108719947287,0.1465
162,497.71,0.1485,,0.1485,,-0.04250108719947287,0.1485
174,497.71,0.1495,,0.1495,,-0.04250108719947287,0.1495
190,497.71,0.1517,,0.1517,,-0.04250108719947287,0.1517
225,497.71,,,,,-0.04250108719947287,
235,497.71,,,,,-0.04250108719947287,
316,497.71,,,,,-0.04250108719947287,
327,497.71,0.1636,,0.1636,,-0.04250108719947287,0.1636
344,497.71,,,,,-0.04250108719947287,
407,497.71,,,,,-0.04250108719947287,
498,497.71,,,,,-0.04250108719947287,
680,497.71,,,,,-0.04250108719947287,
708,497.71,,,,,-0.04250108719947287,
1044,497.71,,,,,-0.04250108719947287,
